Time,CO2 (ppm)
0,1858.329773
0.1,1855.278015
0.2,1849.1745
0.3,2000.808716
0.4,1928.138733
0.5,1934.051514
0.6,1940.155029
0.7,1940.155029
0.8,1833.91571
0.9,1861.381531
1,1873.397827
1.1,1858.329773
1.2,1861.381531
1.3,2009.963989
1.4,1937.103271
1.5,1946.258545
1.6,1943.206787
1.7,1937.103271
1.8,1867.294312
1.9,1864.433289
2,1864.433289
2.1,1873.397827
2.2,1864.433289
2.3,2000.808716
2.4,1946.258545
2.5,1946.258545
2.6,1946.258545
2.7,1949.310303
2.8,1885.604858
2.9,1879.501343
3,1885.604858
3.1,1882.553101
3.2,1870.346069
3.3,2013.015747
3.4,1949.310303
3.5,1961.517334
3.6,1946.258545
3.7,1955.413818
3.8,1891.708374
3.9,1885.604858
4,1894.760132
4.1,1894.760132
4.2,1891.708374
4.3,2028.083801
4.4,1973.53363
4.5,1955.413818
4.6,1970.481873
4.7,1958.465576
4.8,1915.931702
4.9,1915.931702
5,1900.672913
5.1,1912.879944
5.2,1900.672913
5.3,2016.067505
5.4,1988.792419
5.5,1979.637146
5.6,1976.585388
5.7,1982.688904
5.8,1912.879944
5.9,1903.72467
6,1900.672913
6.1,1909.828186
6.2,1906.776428
6.3,2028.083801
6.4,1976.585388
6.5,1994.895935
6.6,1982.688904
6.7,1988.792419
6.8,1918.983459
6.9,1915.931702
7,1925.086975
7.1,1925.086975
7.2,1915.931702
7.3,2028.083801
7.4,2006.912231
7.5,2003.860474
7.6,1991.844177
7.7,2003.860474
7.8,1928.138733
7.9,1934.051514
8,1925.086975
8.1,1934.051514
8.2,1934.051514
8.3,2043.34259
8.4,2003.860474
8.5,2009.963989
8.6,2013.015747
8.7,2009.963989
8.8,1940.155029
8.9,1940.155029
9,1940.155029
9.1,1934.051514
9.2,1928.138733
9.3,2034.187317
9.4,2006.912231
9.5,2022.171021
9.6,2009.963989
9.7,2019.119263
9.8,1934.051514
9.9,1949.310303
10,1940.155029
10.1,1934.051514
10.2,1943.206787
10.3,2049.446106
10.4,2016.067505
10.5,2022.171021
10.6,2016.067505
10.7,2022.171021
10.8,1955.413818
10.9,1949.310303
11,1946.258545
11.1,1946.258545
11.2,1955.413818
11.3,2052.497864
11.4,2031.135559
11.5,2022.171021
11.6,2019.119263
11.7,2025.222778
11.8,1958.465576
11.9,1958.465576
12,1958.465576
12.1,1955.413818
12.2,1958.465576
12.3,2058.601379
12.4,2031.135559
12.5,2043.34259
12.6,2034.187317
12.7,2034.187317
12.8,1955.413818
12.9,1955.413818
13,1976.585388
13.1,1967.430115
13.2,1967.430115
13.3,2067.565918
13.4,2046.394348
13.5,2043.34259
13.6,2049.446106
13.7,2043.34259
13.8,1970.481873
13.9,1982.688904
14,1976.585388
14.1,1970.481873
14.2,1979.637146
14.3,2070.617676
14.4,2061.462402
14.5,2052.497864
14.6,2055.549622
14.7,2046.394348
14.8,1976.585388
14.9,1988.792419
15,1979.637146
15.1,1982.688904
15.2,1988.792419
15.3,2076.721191
15.4,2061.462402
15.5,2061.462402
15.6,2067.565918
15.7,2061.462402
15.8,1982.688904
15.9,1985.740662
16,1973.53363
16.1,1982.688904
16.2,1988.792419
16.3,2082.824707
16.4,2067.565918
16.5,2061.462402
16.6,2067.565918
16.7,2052.497864
16.8,1997.756958
16.9,2003.860474
17,1994.895935
17.1,1982.688904
17.2,1988.792419
17.3,2079.772949
17.4,2067.565918
17.5,2064.51416
17.6,2067.565918
17.7,2079.772949
17.8,1997.756958
17.9,2003.860474
18,1988.792419
18.1,1988.792419
18.2,2006.912231
18.3,2100.944519
18.4,2067.565918
18.5,2076.721191
18.6,2085.876465
18.7,2079.772949
18.8,2009.963989
18.9,1991.844177
19,2006.912231
19.1,2006.912231
19.2,1991.844177
19.3,2103.996277
19.4,2085.876465
19.5,2076.721191
19.6,2079.772949
19.7,2076.721191
19.8,2009.963989
19.9,2013.015747
20,2019.119263
20.1,2016.067505
20.2,2006.912231
20.3,2110.099792
20.4,2088.928223
20.5,2079.772949
20.6,2097.892761
20.7,2082.824707
20.8,2016.067505
20.9,2034.187317
21,2022.171021
21.1,2022.171021
21.2,2028.083801
21.3,2110.099792
21.4,2088.928223
21.5,2088.928223
21.6,2103.996277
21.7,2088.928223
21.8,2016.067505
21.9,2022.171021
22,2016.067505
22.1,2016.067505
22.2,2016.067505
22.3,2100.944519
22.4,2100.944519
22.5,2100.944519
22.6,2097.892761
22.7,2094.841003
22.8,2025.222778
22.9,2043.34259
23,2031.135559
23.1,2025.222778
23.2,2031.135559
23.3,2110.099792
23.4,2113.15155
23.5,2094.841003
23.6,2110.099792
23.7,2116.203308
23.8,2043.34259
23.9,2040.290833
24,2031.135559
24.1,2031.135559
24.2,2040.290833
24.3,2113.15155
24.4,2116.203308
24.5,2110.099792
24.6,2113.15155
24.7,2113.15155
24.8,2040.290833
24.9,2046.394348
25,2043.34259
25.1,2040.290833
25.2,2040.290833
25.3,2125.167847
25.4,2128.219604
25.5,2119.255066
25.6,2122.306824
25.7,2119.255066
25.8,2049.446106
25.9,2055.549622
26,2052.497864
26.1,2061.462402
26.2,2043.34259
26.3,2143.478394
26.4,2128.219604
26.5,2128.219604
26.6,2128.219604
26.7,2128.219604
26.8,2061.462402
26.9,2064.51416
27,2061.462402
27.1,2052.497864
27.2,2061.462402
27.3,2143.478394
27.4,2134.32312
27.5,2134.32312
27.6,2140.426636
27.7,2137.374878
27.8,2061.462402
27.9,2067.565918
28,2052.497864
28.1,2064.51416
28.2,2064.51416
28.3,2146.530151
28.4,2134.32312
28.5,2128.219604
28.6,2143.478394
